year,model_type,task_type,model_size_million_params,training_framework,epochs,batch_size,learning_rate,training_time_hours,final_train_loss,final_val_loss,overfitting_score,inference_latency_ms,throughput_samples_per_sec,model_accuracy,f1_score,roc_auc,gpu_type,gpu_memory_gb,power_consumption_kwh,carbon_emission_kg,cloud_provider,training_cost_usd,inference_cost_per_1k_requests
2020,Diffusion,detection,73.55,PyTorch,47,128,0.000363,8.07,0.5627,0.6117,0.049,191,3.67,0.809,0.793,0.838,RTX3090,24,6.77,3.99,AWS,46.42,0.1923
2024,LLM,generation,55.33,JAX,46,128,1.20E-05,8.15,0.3177,0.363,0.0453,338.74,2.35,0.786,0.736,0.81,V100,32,11.43,6.54,AWS,31,0.3792
2021,Diffusion,generation,57.81,TensorFlow,13,64,1.10E-05,4.23,0.3272,0.6037,0.2765,319.93,5.23,0.873,0.856,0.895,T4,16,3.92,2.36,GCP,15.64,0.9187
2022,Transformer,generation,41.39,TensorFlow,22,16,0.000355,5.96,1.0791,1.3222,0.2432,669.13,0.33,0.825,0.807,0.837,T4,16,6.12,2.79,Azure,18.38,5.6599
2021,LLM,classification,24.34,TensorFlow,49,128,1.90E-05,3.17,0.1357,0.5306,0.3949,956.5,0.46,0.75,0.739,0.784,T4,16,4.1,2.43,GCP,16.12,1.5939
2020,Transformer,segmentation,33,JAX,11,32,0.000501,3.13,0.1597,0.3143,0.1546,613.06,2.2,0.795,0.762,0.814,V100,32,3.74,1.69,On-Prem,18.44,5.2969
2020,CNN,detection,31.18,JAX,18,32,9.70E-05,3.19,0.5417,0.5616,0.0199,118.11,0.94,0.883,0.847,0.902,V100,32,3.69,2.44,On-Prem,9.56,0.5544
2018,Transformer,segmentation,34,PyTorch,36,32,0.000158,4.06,1.0625,1.316,0.2535,271.21,0.94,0.879,0.851,0.896,T4,16,4.43,2.9,GCP,13.39,0.5692
2024,LLM,generation,84.31,JAX,5,32,2.90E-05,7.82,0.9907,1.3364,0.3457,8.36,125.07,0.8,0.773,0.816,A100,40,6.91,3.01,On-Prem,45.11,0.0327
2018,Diffusion,detection,169.31,TensorFlow,16,128,3.20E-05,16.88,0.396,0.5171,0.1211,9.38,132.05,0.834,0.804,0.846,V100,32,16.8,11.14,AWS,49.95,0.0216
2025,Diffusion,detection,66.95,JAX,36,16,0.000153,3.89,0.4751,0.5795,0.1044,361.35,2.68,0.819,0.77,0.841,V100,32,5.33,3.3,AWS,10.12,2.0141
2024,Transformer,segmentation,87.69,JAX,40,128,1.10E-05,8.88,0.3105,0.5721,0.2616,64.36,21.71,0.855,0.829,0.893,V100,32,7.95,3.47,On-Prem,21.78,0.6
